# Time	Re(Corr).mean	Re(Corr).stde	Im(Corr).mean	Im(Corr).stde
0	2.82862885607843e-16	2.5093276818930376e-16	-2.8618672263835136e-37	2.940720475819071e-35
1	1.4500971349908271e-16	1.149634452062602e-16	-2.090682023872023e-37	7.531597070707133e-36
2	1.2490661500906207e-16	1.0113130811090652e-16	3.5452790369469113e-38	5.415638991920841e-36
3	1.1303534329595073e-16	9.367240315534917e-17	-3.1088411730727184e-38	4.1911775379623624e-36
4	1.0523829201082548e-16	9.010315192688815e-17	2.217558455397261e-38	4.142361489700565e-36
5	9.846347418243688e-17	7.949829512883282e-17	1.0601431520638536e-37	3.673999142123793e-36
6	9.292617606465765e-17	7.992067949715185e-17	-1.5458842772016045e-37	3.871683984504963e-36
7	8.887535163526817e-17	7.662929057889276e-17	-3.816925495306528e-38	3.447734024505329e-36
8	8.487555866173935e-17	7.525625446331163e-17	-8.248351014475277e-38	5.041384552613236e-36
9	8.152686761190104e-17	7.2150469411062e-17	-1.827622663657422e-38	2.9258144669664554e-36
10	7.852390053536504e-17	7.697246480801472e-17	2.923085146571546e-38	3.978805483499964e-36
11	7.533811859382065e-17	8.111890646168758e-17	-1.1413025862774175e-37	6.820908294134983e-36
12	7.149793772551106e-17	6.014686259159113e-17	1.9615576119310624e-38	2.7811978394538254e-36
13	6.87566856739555e-17	5.728533010113025e-17	4.178612771301673e-38	2.4794310135754805e-36
14	6.611254005968461e-17	5.4619920311293754e-17	-5.019497184207351e-38	2.199106969302039e-36
15	6.336276464955885e-17	5.124049382813711e-17	-4.20805771332727e-38	1.9369759029451637e-36
16	6.10847718227574e-17	5.1769938691743275e-17	2.347317562989583e-38	1.9745227207636085e-36
17	5.903198789815892e-17	4.834488770695085e-17	-3.2092354029369563e-38	1.8207358366387777e-36
18	5.69002903042993e-17	4.7190936453736296e-17	1.0770659501341181e-38	1.7933951585643784e-36
19	5.454294868198092e-17	4.5854962382871445e-17	-3.6464073986458863e-38	1.8564408980252373e-36
20	5.281720386851485e-17	4.4277777007270744e-17	1.410435555407342e-38	1.5958763386987994e-36
21	5.094334716240662e-17	4.201819008107033e-17	-1.979642010841889e-39	1.5255463165308184e-36
22	4.899529350004091e-17	3.9888523195732603e-17	3.8143863933043426e-38	1.427154062264066e-36
23	4.7452275126320626e-17	3.908249138245823e-17	8.225346207869058e-39	1.488896752010671e-36
24	4.5912404032515664e-17	3.812361929525004e-17	1.704620361905016e-38	1.3801540792209085e-36
25	4.408876924951423e-17	3.720230688159112e-17	-7.21065210419968e-38	1.2936646411973438e-36
26	4.263639905326229e-17	3.6205804726201483e-17	-2.4066409682293567e-38	1.1287879137424952e-36
27	4.128097997097712e-17	3.535573293389233e-17	-6.653058299309926e-39	1.3632478217298233e-36
28	3.9824876944655964e-17	3.391740918212062e-17	-1.507825899450772e-38	1.355600885165307e-36
29	3.85031397401246e-17	3.283078215165963e-17	4.7402686106722354e-39	1.2476549423457789e-36
30	3.7025615619686216e-17	3.2404045087789285e-17	4.309626127052293e-39	1.0588869512108802e-36
31	3.59346333320916e-17	3.119699168726091e-17	-3.3921519925184777e-39	1.0048299777843187e-36
32	3.495331656011346e-17	3.109446462519504e-17	4.8523950804561804e-40	1.0593555597633376e-36
33	3.3694795784681574e-17	2.997232834638168e-17	-6.58483798327136e-39	9.375698174292085e-37
34	3.2635632639896404e-17	2.846905268183622e-17	7.522673895953883e-39	9.4208305793635e-37
35	3.1802443325138595e-17	2.8526154777443406e-17	-1.4388076819117234e-38	1.0092949272711017e-36
36	3.0613319397996836e-17	2.704617627195151e-17	9.034726307811573e-39	9.775490933403405e-37
37	2.981318548462991e-17	2.7044720522208782e-17	4.2282957618138626e-39	8.553415640323496e-37
38	2.8890807870742164e-17	2.6422263780103504e-17	1.968415228438771e-38	8.580830586352187e-37
39	2.7908384151344536e-17	2.487307664615143e-17	2.0156857248285184e-39	7.515842415419543e-37
40	2.7148921207838128e-17	2.4051917477386283e-17	-4.7730449834422445e-39	7.939133771840687e-37
41	2.6378239241342923e-17	2.3856059565895007e-17	2.2572888709509578e-38	7.530514445499228e-37
42	2.555599521326605e-17	2.272125655747144e-17	-1.9967627046587642e-38	7.1270572595589545e-37
43	2.4941983038040364e-17	2.2216671579421752e-17	-1.9849434501000855e-38	8.265538229219468e-37
44	2.4315550597749105e-17	2.172510912493573e-17	1.8215453891105662e-38	6.420991465647829e-37
45	2.3853398075930886e-17	2.1875688886358876e-17	2.2376774720634353e-38	6.703680045944548e-37
46	2.31165645329607e-17	2.067067004091389e-17	-1.1240152669171992e-38	7.411893086796835e-37
47	2.255319185549875e-17	2.053083232769583e-17	-8.582058728168319e-39	5.9715174309128545e-37
48	2.2102307936923926e-17	2.0367324965841786e-17	-6.813422554896111e-39	6.234388648983694e-37
49	2.1502123760243378e-17	1.9389301464088562e-17	-1.802633490056128e-38	6.169393914575077e-37
50	2.1086981816903888e-17	1.8949673038818584e-17	-1.2548519229711388e-38	6.137397438149658e-37
51	2.0681426934780865e-17	1.877667895544478e-17	1.2829898183326948e-38	5.381580952245287e-37
52	2.0384969125458807e-17	1.851084555754472e-17	1.178429400103628e-38	5.4031610578937595e-37
53	2.0082429648810925e-17	1.8114128490601616e-17	1.4188115308344637e-38	4.937998273904717e-37
54	1.9759354778095676e-17	1.8172734635005025e-17	6.431458110973586e-39	5.621520746765185e-37
55	1.9651911049084742e-17	1.846809602874922e-17	9.181261935402244e-39	6.080574155014088e-37
56	1.9390436071691697e-17	1.833418830706055e-17	4.374036162014111e-39	5.066715321046459e-37
57	1.9087482050308257e-17	1.8287073980890497e-17	8.430561431608313e-39	5.309301271789635e-37
58	1.8912293711630177e-17	1.7744345656133905e-17	-1.885048145441291e-39	5.562083305395162e-37
59	1.8745613375223623e-17	1.790476902829871e-17	2.5464711255340225e-39	4.9984930337956865e-37
60	1.8581496444069335e-17	1.7561877251151433e-17	6.072303413633263e-39	4.693671778385811e-37
61	1.8531240273508532e-17	1.728375129463847e-17	-2.8651239369545983e-39	4.879255634166242e-37
62	1.8461350710763114e-17	1.7292921343037014e-17	-2.6249432884084376e-39	4.647144763708699e-37
63	1.8399326490793035e-17	1.753400644801307e-17	-7.010468982125588e-39	5.7171055426648814e-37
64	1.8374018603607018e-17	1.7616982946342216e-17	1.2909733388702045e-38	5.189802985689549e-37
65	1.829508618309074e-17	1.7342886136344168e-17	-4.1869315766706366e-39	6.029805813124786e-37
66	1.8461721290544147e-17	1.7459510433538614e-17	-1.1714710445542105e-38	4.632963356142974e-37
67	1.8664386104872335e-17	1.759774324199968e-17	1.8488308153714076e-38	4.943722931344155e-37
68	1.87720496327352e-17	1.8241919655697255e-17	-8.834432860337993e-39	5.133476028546218e-37
69	1.87625485656402e-17	1.8316104767634278e-17	1.0628002669306268e-38	5.9971245191157146e-37
70	1.8823044759071806e-17	1.844664088911765e-17	5.292399582347056e-39	5.512342843782454e-37
71	1.9088884191103128e-17	1.8426576393139568e-17	-3.9111513227310884e-39	5.078149137637291e-37
72	1.932629549283316e-17	1.874439993503395e-17	1.861805982750546e-38	4.942292346596005e-37
73	1.9622541532621237e-17	1.8929679767215623e-17	-6.408577177982211e-39	5.281422507756906e-37
74	1.9867393375849014e-17	1.9158467009735894e-17	8.401179086603801e-39	5.645311504348008e-37
75	2.020438096104596e-17	1.9588609260469087e-17	1.2635869306652822e-38	5.263560166169658e-37
76	2.049099542558215e-17	2.0772457344429457e-17	-8.631777378970009e-39	5.361477672544158e-37
77	2.089364399898318e-17	2.1080918928583074e-17	-1.416454560182981e-38	6.053707474893254e-37
78	2.123608695080672e-17	2.0896542822762022e-17	1.3352461082551463e-38	5.878674167785275e-37
79	2.1675163624178486e-17	2.1700121584701276e-17	-1.2664671968173105e-38	7.050725143997444e-37
80	2.2174170398157583e-17	2.2240787480589472e-17	7.38786423602774e-39	5.326506263354335e-37
81	2.279564552350518e-17	2.36850637151391e-17	-4.199191093996654e-39	6.174979798518176e-37
82	2.3295943236711968e-17	2.425117359136199e-17	-6.983416518244816e-39	6.266007546202309e-37
83	2.371732962654211e-17	2.328222051950962e-17	-2.0192975707138345e-38	6.630224123133226e-37
84	2.4468331455927904e-17	2.450691956416546e-17	-6.207817085239964e-39	6.553692142442251e-37
85	2.5134074020857584e-17	2.465149764066095e-17	3.67891034261893e-39	7.654709947614957e-37
86	2.5847553408377665e-17	2.5257574986698516e-17	-4.0655223710867096e-39	7.74718715646791e-37
87	2.6593821549673917e-17	2.6217898957820118e-17	-3.3053114842997734e-38	1.1762266389221554e-36
88	2.7456249725104827e-17	2.861938510417141e-17	2.8137797376665187e-38	9.654779116034482e-37
89	2.8117820144567204e-17	2.993659930255372e-17	-8.64342403552433e-39	7.742001693627605e-37
90	2.9012508685492484e-17	2.9150551130459577e-17	1.2902026842548203e-38	8.503602643935845e-37
91	3.004291231053237e-17	3.0063686300590886e-17	1.5591056924450456e-38	8.32391955408269e-37
92	3.1130608410367303e-17	3.462005015979279e-17	1.0452059797197546e-38	1.0357670999977947e-36
93	3.2194900872696806e-17	3.659189593859723e-17	-1.391953562878959e-38	1.2838717920661382e-36
94	3.294749789377653e-17	3.7394701540753625e-17	2.408900444544775e-38	9.382005711500718e-37
95	3.415255886896966e-17	3.851590895330516e-17	1.6821028536058128e-38	1.3155388927389072e-36
96	3.5419501139363967e-17	4.058154728363526e-17	-2.6621614680681535e-38	1.1747701044008102e-36
97	3.651003069214375e-17	4.2799292853822905e-17	5.175841314417669e-38	1.3201592596923401e-36
98	3.774986337361891e-17	4.36298036623548e-17	2.1099974007785912e-38	1.2195166978325888e-36
99	3.9110740404293486e-17	4.576300020296095e-17	1.7282597616919164e-38	1.4054074395914507e-36
100	4.021297600525311e-17	4.4459011524152206e-17	9.805863004492846e-39	1.7797315460808554e-36
101	4.2061282948449105e-17	5.404582290643785e-17	-1.1965959431536963e-37	3.714839027277657e-36
102	4.3306368525132144e-17	5.1319953048053586e-17	-9.665162879395573e-39	1.5917483543386876e-36
103	4.459239427139226e-17	4.770766321940899e-17	-1.4046667106820077e-38	2.056740379005222e-36
104	4.6167658818158676e-17	4.755646633506769e-17	-1.0664272021427637e-38	1.5902750530734458e-36
105	4.7816911555477007e-17	4.6242262189428666e-17	-4.203823785671909e-38	1.3922169228991213e-36
106	4.952893285099475e-17	4.7662680309686834e-17	-4.186870426523406e-38	1.9476952984917558e-36
107	5.1768295030545144e-17	5.0938855496995033e-17	2.8898943305022055e-38	2.1812244237470236e-36
108	5.3446222657845774e-17	5.437427475083372e-17	1.3955384535329435e-38	1.9273720638598536e-36
109	5.581938751097837e-17	5.780577552592224e-17	-2.866519911802105e-38	1.6877031015628543e-36
110	5.762843292167666e-17	5.849587599061909e-17	3.164888610471444e-38	2.2513808974108826e-36
111	5.93852076132318e-17	5.727001378977789e-17	8.990371270765965e-39	2.4020853775969142e-36
112	6.216427991036483e-17	6.481510169909292e-17	-6.207475529467988e-38	2.1338675058795663e-36
113	6.379138899718375e-17	5.721078424720142e-17	-5.202876512917572e-38	2.786118754409522e-36
114	6.624631398310298e-17	5.853989618311587e-17	8.772267981467503e-39	2.4423967487823995e-36
115	6.880951554365623e-17	5.996410255419546e-17	-1.7929988597821973e-38	2.1878857445683776e-36
116	7.167438051371282e-17	6.199555576551873e-17	-6.135445121902968e-38	2.7964250750826675e-36
117	7.486224872727252e-17	6.623583090009905e-17	-5.307480804410322e-38	2.4808419569535104e-36
118	7.770410863265799e-17	6.712007869508406e-17	1.5814813541174094e-38	2.814743200262864e-36
119	8.169294803460147e-17	7.417748124149582e-17	-2.6571415107259713e-38	3.314912517049631e-36
120	8.520421611612936e-17	7.323296168043064e-17	1.8394677950686203e-38	2.8958426805091166e-36
121	8.911980632902092e-17	7.764111866060261e-17	2.1575675401070996e-37	4.081508574699568e-36
122	9.351260716674147e-17	7.935602799641005e-17	-2.162051013739956e-38	3.968914836349325e-36
123	9.814717922547958e-17	7.797299158241197e-17	-1.4163458528992655e-37	3.364330008217116e-36
124	1.0425187753359799e-16	8.302747169378321e-17	4.122970531688804e-38	3.839884846215224e-36
125	1.1320629420339048e-16	9.165711514067278e-17	5.684951051382448e-39	5.00090606132111e-36
126	1.2477371519526662e-16	1.0217845027301474e-16	2.2336691003512815e-37	6.483109133142318e-36
127	1.4593615305959104e-16	1.1914391745764064e-16	2.647158354533685e-38	8.331464520721228e-36
