# Time	Re(Corr).mean	Re(Corr).stde	Im(Corr).mean	Im(Corr).stde
0	2.82862885607843e-16	5.071677981240837e-18	-2.8618672263835136e-37	5.943578988832675e-37
1	1.4500971349908271e-16	2.3235609199525447e-18	-2.090682023872023e-37	1.522233835888141e-37
2	1.2490661500906207e-16	2.0439954186183903e-18	3.5452790369469113e-38	1.0945711565638813e-37
3	1.1303534329595073e-16	1.893241237328165e-18	-3.1088411730727184e-38	8.47091553173284e-38
4	1.0523829201082548e-16	1.8211020225276242e-18	2.217558455397261e-38	8.372251941924683e-38
5	9.846347418243688e-17	1.6067640581995278e-18	1.0601431520638536e-37	7.425630652649544e-38
6	9.292617606465765e-17	1.6153009962641805e-18	-1.5458842772016045e-37	7.825177459375595e-38
7	8.887535163526817e-17	1.5487777405535448e-18	-3.816925495306528e-38	6.968319388270265e-38
8	8.487555866173935e-17	1.521026892846051e-18	-8.248351014475277e-38	1.0189294612638042e-37
9	8.152686761190104e-17	1.4582549329397289e-18	-1.827622663657422e-38	5.913452004050456e-38
10	7.852390053536504e-17	1.555713738566583e-18	2.923085146571546e-38	8.041683956988773e-38
11	7.533811859382065e-17	1.6395187234124357e-18	-1.1413025862774175e-37	1.37859438036128e-37
12	7.149793772551106e-17	1.2156464093854991e-18	1.9615576119310624e-38	5.621162969513604e-38
13	6.87566856739555e-17	1.157811111790857e-18	4.178612771301673e-38	5.011252921766648e-38
14	6.611254005968461e-17	1.1039397093445275e-18	-5.019497184207351e-38	4.4446815276785496e-38
15	6.336276464955885e-17	1.0356370998147997e-18	-4.20805771332727e-38	3.9148805108426726e-38
16	6.10847718227574e-17	1.0463378698912162e-18	2.347317562989583e-38	3.9907675185736883e-38
17	5.903198789815892e-17	9.77113129776388e-19	-3.2092354029369563e-38	3.6799442013769717e-38
18	5.69002903042993e-17	9.537902724047336e-19	1.0770659501341181e-38	3.6246851309962087e-38
19	5.454294868198092e-17	9.267884968789386e-19	-3.6464073986458863e-38	3.752108779546352e-38
20	5.281720386851485e-17	8.949115268064819e-19	1.410435555407342e-38	3.225473877391733e-38
21	5.094334716240662e-17	8.492423328506533e-19	-1.979642010841889e-39	3.0833277450139795e-38
